# source_format,source_name,arch_name
# Built-in fallback mappings for common deb/rpm dependency names to Arch
# packages. Extend at will; unknown entries fall back to user prompts.
deb,libc6,glibc
deb,libssl1.1,openssl-1.1
deb,libssl3,openssl
deb,libcurl4,curl
deb,libxml2,libxml2
deb,libzstd1,zstd
deb,zlib1g,zlib
deb,libgcc-s1,libgcc
deb,libstdc++6,gcc-libs
deb,libsystemd0,systemd-libs
deb,libdbus-1-3,dbus
deb,libglib2.0-0,glib2
deb,libpcre3,pcre
deb,libexpat1,expat
deb,libffi8,libffi
deb,libpng16-16,libpng
deb,libjpeg-turbo8,libjpeg-turbo
deb,libfreetype6,freetype2
deb,libfontconfig1,fontconfig
deb,libx11-6,libx11
deb,libxcb1,libxcb
deb,python3,python
deb,perl,perl
deb,bash,bash
deb,coreutils,coreutils
deb,libncursesw6,ncurses
deb,libreadline8,readline
deb,libsqlite3-0,sqlite
deb,libarchive13,libarchive
deb,libgpgme11,gpgme
deb,libalpm13,pacman
rpm,glibc,glibc
rpm,openssl-libs,openssl
rpm,libcurl,curl
rpm,libxml2,libxml2
rpm,zstd-libs,zstd
rpm,zlib,zlib
rpm,libgcc,libgcc
rpm,libstdc++,gcc-libs
rpm,systemd-libs,systemd-libs
rpm,dbus-libs,dbus
rpm,glib2,glib2
rpm,pcre2,pcre2
rpm,expat,expat
rpm,libffi,libffi
rpm,libpng,libpng
rpm,libjpeg-turbo,libjpeg-turbo
rpm,freetype,freetype2
rpm,fontconfig,fontconfig
rpm,libX11,libx11
rpm,libxcb,libxcb
rpm,python3,python
rpm,perl,perl
rpm,bash,bash
rpm,coreutils,coreutils
rpm,ncurses-libs,ncurses
rpm,readline,readline
rpm,sqlite-libs,sqlite
rpm,libarchive,libarchive
rpm,gpgme,gpgme
